at the end of the,3746
in the middle of the,1381
the other side of the,1178
the secretary of state for,1092
as a result of the,1081
by the end of the,1042
at the top of the,894
on the other side of,814
there are a number of,801
the end of the day,790
at the time of the,770
in the case of the,722
for the first time in,691
on the part of the,690
at the beginning of the,687
you know what i mean,657
at the bottom of the,621
the way in which the,605
at the back of the,600
in the same way as,585
is one of the most,579
for the rest of the,569
and at the same time,565
hon friend the member for,564
the end of the year,559
on the other hand the,555
at the same time the,552
on the edge of the,552
at the same time as,516
in the centre of the,508
the other end of the,507
in the light of the,502
in the form of a,500
there is no doubt that,497
ask the secretary of state,497
to ask the secretary of,488
in such a way that,469
the point of view of,462
from the point of view,462
in the context of the,447
at the end of a,446
but at the same time,439
on the basis of the,438
my hon friend the member,436
in the case of a,430
the hundred shares index closed,427
towards the end of the,423
at the start of the,414
my right hon friend the,412
the rest of the world,409
to the top of the,408
one of the most important,404
do you want me to,400
at the foot of the,399
it seems to me that,388
to the end of the,373
on the one hand and,372
as a matter of fact,372
at the other end of,369
it is not possible to,362
in the middle of a,354
in the direction of the,352
one two three four five,351
as in the case of,347
to be found in the,344
to be one of the,343
the extent to which the,342
the department of the environment,340
the turn of the century,335
it should be noted that,324
and the rest of the,324
the second half of the,324
in the course of the,323
in such a way as,322
it is not surprising that,322
to come to terms with,321
in the hands of the,317
with the rest of the,316
it has been suggested that,314
on both sides of the,314
in the house of commons,311
there was a lot of,307
this is one of the,307
such a way as to,306
is not to say that,306
while at the same time,306
at the heart of the,305
the end of the month,304
there was no sign of,296
at the end of this,295
the middle of the night,292
you will be able to,291
it was one of the,290
on the side of the,289
what are you going to,288
it was the first time,286
nothing to do with the,285
it is one of the,285
the far side of the,281
had nothing to do with,279
it is clear that the,278
on either side of the,278
there is no need to,277
this does not mean that,276
are you going to do,272
the far end of the,271
department of trade and industry,271
there is no reason why,268
from the rest of the,268
there are a lot of,268
at the expense of the,267
at a time when the,266
until the end of the,264
to the rest of the,262
has nothing to do with,261
two three four five six,260
of the way in which,259
